用户编号,户号
QZ-GY-001,泉州南岛新材料科技有限公司_3507520721239
QZ-GY-002,泉州市泉港区昌玉汽车零件厂_3507524490430
QZ-SY-001,泉州市鲤城三清工艺品有限公司
FZ-CZ-001,津太新能源科技（福建）有限公司
FZ-GY-001,福州信青源家具有限公司_3507718949892
FZ-GG-001,福州市晋安区象园街道办事处(套餐用户)
FZ-GG-002,福州市鼓楼区元兴物业有限公司
FZ-GY-002,福州年盛机电有限公司
FZ-GY-003,福州至和玻璃有限公司_3550001315177
FZ-SY-F-001,福州超库鲜生供应链管理有限公司
FZ-GY-004,福州雅赛诺家居有限公司_3507521102927
ND-GY-F-001,福建俊杰新材料科技股份有限公司_3507528435563
FZ-GG-003,福建安捷物业管理有限公司
FZ-GG-005,福建省元乐达工贸有限公司
QZ-SY-F-001,福建省德化圣光工艺有限公司_3507564591281
PT-GY-F-001,福建省莆田市新兴达饲料有限公司_3507585317165
FZ-GG-004,福建运杰物流有限公司_3507530370274
FZ-GY-005,闽侯县天泽工艺品有限公司_3507699900996
